county,fipscode,countyseat,pop,popdensity
Albany County,1,Albany,"314,848",570.74
Allegany County,3,Belmont,"46,456",47.34
Bronx County,5,-,"1,472,654","24,118.20"
Broome County,7,Binghamton,"198,683",280.56
Cattaraugus County,9,Little Valley,"77,042",61.31
Cayuga County,11,Auburn,"76,248",92.62
Chautauqua County,13,Mayville,"127,657",89.94
Chemung County,15,Elmira,"84,148",216.23
Chenango County,17,Norwich,"47,220",56.16
Clinton County,19,Plattsburgh,"79,843",73.46
Columbia County,21,Hudson,"61,570",97.37
Cortland County,23,Cortland,"46,809",98.28
Delaware County,25,Delhi,"44,308",32.68
Dutchess County,27,Poughkeepsie,"295,911",360.59
Erie County,29,Buffalo,"954,236",749.02
Essex County,31,Elizabethtown,"37,381",20.55
Franklin County,33,Malone,"47,555",30.41
Fulton County,35,Johnstown,"53,324",104.19
Genesee County,37,Batavia,"58,388",121.37
Greene County,39,Catskill,"47,931",74.8
Hamilton County,41,Lake Pleasant,"5,107",2.67
Herkimer County,43,Herkimer,"60,139",44.25
Jefferson County,45,Watertown,"116,721",62.59
Kings County,47,-,"2,736,074","25,848.30"
Lewis County,49,Lowville,"26,582",21
Livingston County,51,Geneseo,"61,834",102.18
Madison County,53,Wampsville,"68,016",110.94
Monroe County,55,Rochester,"759,443",544.91
Montgomery County,57,Fonda,"49,532",122.49
Nassau County,59,Mineola,"1,395,774","2,957.02"
New York County,61,-,"1,694,251","46,961.00"
Niagara County,63,Lockport,"212,666",189.89
Oneida County,65,Utica,"232,125",193.63
Onondaga County,67,Syracuse,"476,516",579.44
Ontario County,69,Canandaigua,"112,458",163.04
Orange County,71,Goshen,"401,310",444.35
Orleans County,73,Albion,"40,343",52.49
Oswego County,75,Oswego,"117,525",93.07
Otsego County,77,Cooperstown,"58,524",62.07
Putnam County,79,Carmel Hamlet,"97,668",405.33
Queens County,81,-,"2,405,464","12,512.46"
Rensselaer County,83,Troy,"161,130",239.74
Richmond County,85,-,"495,747","4,572.98"
Rockland County,87,New City,"338,329","1,566.27"
St. Lawrence County,89,Canton,"108,505",39.68
Saratoga County,91,Ballston Spa,"235,509",260.2
Schenectady County,93,Schenectady,"158,061",736.8
Schoharie County,95,Schoharie,"29,714",51.84
Schuyler County,97,Watkins Glen,"17,898",53.63
Seneca County,99,Waterloo,"33,814",108.46
Steuben County,101,Bath,"93,584",70.51
Suffolk County,103,Riverhead,"1,525,920",629.31
Sullivan County,105,Monticello,"78,624",77.78
Tioga County,107,Owego,"48,455",97.75
Tompkins County,109,Ithaca,"105,740",213.37
Ulster County,111,Kingston,"181,851",157.19
Warren County,113,Queensbury,"65,737",75.53
Washington County,115,Fort Edward,"61,302",74.72
Wayne County,117,Lyons,"91,283",67.75
Westchester County,119,White Plains,"1,004,457","1,898.23"
Wyoming County,121,Warsaw,"40,531",70.73
Yates County,123,Penn Yan,"24,774",67.41
